__time,/joint_states/header/stamp,/joint_states/joint_a1/effort,/joint_states/joint_a1/position,/joint_states/joint_a1/velocity,/joint_states/joint_a2/effort,/joint_states/joint_a2/position,/joint_states/joint_a2/velocity,/joint_states/joint_a3/effort,/joint_states/joint_a3/position,/joint_states/joint_a3/velocity,/joint_states/joint_a4/effort,/joint_states/joint_a4/position,/joint_states/joint_a4/velocity,/joint_states/joint_a5/effort,/joint_states/joint_a5/position,/joint_states/joint_a5/velocity,/joint_states/joint_a6/effort,/joint_states/joint_a6/position,/joint_states/joint_a6/velocity,/joint_states/joint_a7/effort,/joint_states/joint_a7/position,/joint_states/joint_a7/velocity
1762698517.800395,23.480000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.805508,23.485000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.810246,23.490000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,-0.000000000
1762698517.815513,23.495000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.820426,23.500000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.825272,23.505000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,-0.000000000
1762698517.830318,23.510000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.839277,23.515000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.844139,23.520000000,-0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.849400,23.525000000,-0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
